Identificadores,pt_zuero,pt,en,es
PARA_Apresentacao,Poha toda feita por QuartoStudios fds...,Um jogo feito por QuartoStudios.,A game developed by QuartoStudios.,Un juego desarollado por QuartoStudios.
User Experience (UX),,,,
Titlescreen,,,,
PARA_Start,,SONHAR!,DREAM,SOÑAR
PARA_Continue,,LEMBRAR,REMEMBER,RECORDAR
PARA_Config,,CONFIGURAÇÕES,SETTINGS,AJUSTES
PARA_Quit,,SAIR,QUIT,SALIR
General User Interface (GUI),,,,
Player HUDs,,,,
PARA_Score,,LUCIDEZ,LUCITY,LUCIDEZ
Dialogues,,,,
PARA_Dialogo_ID_0000,"Eu sou Flockos, e eu comi a sua mãe ontem.","Meu nome é Flockos, prazer!","The name is Flockos, pleased to meet you","Me llamo Flockos Crawldear, un encanto conocerte"
